Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG1_NO/200412COVID19MEXICO_REG1_NO_AMB.csv,200412COVID19MEXICO,472,
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG1_NO/200412COVID19MEXICO_REG1_NO_HOSP.csv,200412COVID19MEXICO,343,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG1_NO/200413COVID19MEXICO_REG1_NO_AMB.csv,200413COVID19MEXICO,528,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG1_NO/200413COVID19MEXICO_REG1_NO_HOSP.csv,200413COVID19MEXICO,378,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG1_NO/200414COVID19MEXICO_REG1_NO_AMB.csv,200414COVID19MEXICO,568,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG1_NO/200414COVID19MEXICO_REG1_NO_HOSP.csv,200414COVID19MEXICO,412,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG1_NO/200415COVID19MEXICO_REG1_NO_AMB.csv,200415COVID19MEXICO,625,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG1_NO/200415COVID19MEXICO_REG1_NO_HOSP.csv,200415COVID19MEXICO,458,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG1_NO/200416COVID19MEXICO_REG1_NO_AMB.csv,200416COVID19MEXICO,694,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG1_NO/200416COVID19MEXICO_REG1_NO_HOSP.csv,200416COVID19MEXICO,500,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG1_NO/200417COVID19MEXICO_REG1_NO_AMB.csv,200417COVID19MEXICO,752,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG1_NO/200417COVID19MEXICO_REG1_NO_HOSP.csv,200417COVID19MEXICO,538,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG1_NO/200418COVID19MEXICO_REG1_NO_AMB.csv,200418COVID19MEXICO,816,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG1_NO/200418COVID19MEXICO_REG1_NO_HOSP.csv,200418COVID19MEXICO,618,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG1_NO/200419COVID19MEXICO_REG1_NO_AMB.csv,200419COVID19MEXICO,901,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG1_NO/200419COVID19MEXICO_REG1_NO_HOSP.csv,200419COVID19MEXICO,695,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG1_NO/200420COVID19MEXICO_REG1_NO_AMB.csv,200420COVID19MEXICO,962,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG1_NO/200420COVID19MEXICO_REG1_NO_HOSP.csv,200420COVID19MEXICO,738,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG1_NO/200421COVID19MEXICO_REG1_NO_AMB.csv,200421COVID19MEXICO,1080,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG1_NO/200421COVID19MEXICO_REG1_NO_HOSP.csv,200421COVID19MEXICO,841,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG1_NO/200422COVID19MEXICO_REG1_NO_AMB.csv,200422COVID19MEXICO,1173,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG1_NO/200422COVID19MEXICO_REG1_NO_HOSP.csv,200422COVID19MEXICO,926,
C:/datos_covid_salida/200423COVID19MEXICO/200423COVID19MEXICO_REG1_NO/200423COVID19MEXICO_REG1_NO_AMB.csv,200423COVID19MEXICO,1261,
C:/datos_covid_salida/200423COVID19MEXICO/200423COVID19MEXICO_REG1_NO/200423COVID19MEXICO_REG1_NO_HOSP.csv,200423COVID19MEXICO,1001,
