Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG2_NE/200412COVID19MEXICO_REG2_NE_AMB.csv,200412COVID19MEXICO,351,
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG2_NE/200412COVID19MEXICO_REG2_NE_HOSP.csv,200412COVID19MEXICO,55,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG2_NE/200413COVID19MEXICO_REG2_NE_AMB.csv,200413COVID19MEXICO,377,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG2_NE/200413COVID19MEXICO_REG2_NE_HOSP.csv,200413COVID19MEXICO,59,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG2_NE/200414COVID19MEXICO_REG2_NE_AMB.csv,200414COVID19MEXICO,399,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG2_NE/200414COVID19MEXICO_REG2_NE_HOSP.csv,200414COVID19MEXICO,60,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG2_NE/200415COVID19MEXICO_REG2_NE_AMB.csv,200415COVID19MEXICO,416,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG2_NE/200415COVID19MEXICO_REG2_NE_HOSP.csv,200415COVID19MEXICO,65,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG2_NE/200416COVID19MEXICO_REG2_NE_AMB.csv,200416COVID19MEXICO,454,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG2_NE/200416COVID19MEXICO_REG2_NE_HOSP.csv,200416COVID19MEXICO,77,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG2_NE/200417COVID19MEXICO_REG2_NE_AMB.csv,200417COVID19MEXICO,468,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG2_NE/200417COVID19MEXICO_REG2_NE_HOSP.csv,200417COVID19MEXICO,83,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG2_NE/200418COVID19MEXICO_REG2_NE_AMB.csv,200418COVID19MEXICO,500,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG2_NE/200418COVID19MEXICO_REG2_NE_HOSP.csv,200418COVID19MEXICO,104,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG2_NE/200419COVID19MEXICO_REG2_NE_AMB.csv,200419COVID19MEXICO,520,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG2_NE/200419COVID19MEXICO_REG2_NE_HOSP.csv,200419COVID19MEXICO,109,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG2_NE/200420COVID19MEXICO_REG2_NE_AMB.csv,200420COVID19MEXICO,559,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG2_NE/200420COVID19MEXICO_REG2_NE_HOSP.csv,200420COVID19MEXICO,116,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG2_NE/200421COVID19MEXICO_REG2_NE_AMB.csv,200421COVID19MEXICO,580,
