Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG3_OC/200412COVID19MEXICO_REG3_OC_AMB.csv,200412COVID19MEXICO,350,
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG3_OC/200412COVID19MEXICO_REG3_OC_HOSP.csv,200412COVID19MEXICO,113,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG3_OC/200413COVID19MEXICO_REG3_OC_AMB.csv,200413COVID19MEXICO,361,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG3_OC/200413COVID19MEXICO_REG3_OC_HOSP.csv,200413COVID19MEXICO,117,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG3_OC/200414COVID19MEXICO_REG3_OC_AMB.csv,200414COVID19MEXICO,379,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG3_OC/200414COVID19MEXICO_REG3_OC_HOSP.csv,200414COVID19MEXICO,128,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG3_OC/200415COVID19MEXICO_REG3_OC_AMB.csv,200415COVID19MEXICO,391,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG3_OC/200415COVID19MEXICO_REG3_OC_HOSP.csv,200415COVID19MEXICO,138,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG3_OC/200416COVID19MEXICO_REG3_OC_AMB.csv,200416COVID19MEXICO,412,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG3_OC/200416COVID19MEXICO_REG3_OC_HOSP.csv,200416COVID19MEXICO,152,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG3_OC/200417COVID19MEXICO_REG3_OC_AMB.csv,200417COVID19MEXICO,454,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG3_OC/200417COVID19MEXICO_REG3_OC_HOSP.csv,200417COVID19MEXICO,171,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG3_OC/200418COVID19MEXICO_REG3_OC_AMB.csv,200418COVID19MEXICO,472,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG3_OC/200418COVID19MEXICO_REG3_OC_HOSP.csv,200418COVID19MEXICO,180,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG3_OC/200419COVID19MEXICO_REG3_OC_AMB.csv,200419COVID19MEXICO,502,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG3_OC/200419COVID19MEXICO_REG3_OC_HOSP.csv,200419COVID19MEXICO,186,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG3_OC/200420COVID19MEXICO_REG3_OC_AMB.csv,200420COVID19MEXICO,550,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG3_OC/200420COVID19MEXICO_REG3_OC_HOSP.csv,200420COVID19MEXICO,195,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG3_OC/200421COVID19MEXICO_REG3_OC_AMB.csv,200421COVID19MEXICO,571,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG3_OC/200421COVID19MEXICO_REG3_OC_HOSP.csv,200421COVID19MEXICO,212,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG3_OC/200422COVID19MEXICO_REG3_OC_AMB.csv,200422COVID19MEXICO,617,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG3_OC/200422COVID19MEXICO_REG3_OC_HOSP.csv,200422COVID19MEXICO,232,
C:/datos_covid_salida/200423COVID19MEXICO/200423COVID19MEXICO_REG3_OC/200423COVID19MEXICO_REG3_OC_AMB.csv,200423COVID19MEXICO,666,
C:/datos_covid_salida/200423COVID19MEXICO/200423COVID19MEXICO_REG3_OC/200423COVID19MEXICO_REG3_OC_HOSP.csv,200423COVID19MEXICO,254,
C:/datos_covid_salida/200424COVID19MEXICO/200424COVID19MEXICO_REG3_OC/200424COVID19MEXICO_REG3_OC_AMB.csv,200424COVID19MEXICO,730,
C:/datos_covid_salida/200424COVID19MEXICO/200424COVID19MEXICO_REG3_OC/200424COVID19MEXICO_REG3_OC_HOSP.csv,200424COVID19MEXICO,275,
C:/datos_covid_salida/200425COVID19MEXICO/200425COVID19MEXICO_REG3_OC/200425COVID19MEXICO_REG3_OC_AMB.csv,200425COVID19MEXICO,759,
C:/datos_covid_salida/200425COVID19MEXICO/200425COVID19MEXICO_REG3_OC/200425COVID19MEXICO_REG3_OC_HOSP.csv,200425COVID19MEXICO,293,
C:/datos_covid_salida/200426COVID19MEXICO/200426COVID19MEXICO_REG3_OC/200426COVID19MEXICO_REG3_OC_AMB.csv,200426COVID19MEXICO,795,
C:/datos_covid_salida/200426COVID19MEXICO/200426COVID19MEXICO_REG3_OC/200426COVID19MEXICO_REG3_OC_HOSP.csv,200426COVID19MEXICO,304,
C:/datos_covid_salida/200427COVID19MEXICO/200427COVID19MEXICO_REG3_OC/200427COVID19MEXICO_REG3_OC_AMB.csv,200427COVID19MEXICO,844,
C:/datos_covid_salida/200427COVID19MEXICO/200427COVID19MEXICO_REG3_OC/200427COVID19MEXICO_REG3_OC_HOSP.csv,200427COVID19MEXICO,324,
C:/datos_covid_salida/200428COVID19MEXICO/200428COVID19MEXICO_REG3_OC/200428COVID19MEXICO_REG3_OC_AMB.csv,200428COVID19MEXICO,904,
C:/datos_covid_salida/200428COVID19MEXICO/200428COVID19MEXICO_REG3_OC/200428COVID19MEXICO_REG3_OC_HOSP.csv,200428COVID19MEXICO,334,
C:/datos_covid_salida/200429COVID19MEXICO/200429COVID19MEXICO_REG3_OC/200429COVID19MEXICO_REG3_OC_AMB.csv,200429COVID19MEXICO,969,
C:/datos_covid_salida/200429COVID19MEXICO/200429COVID19MEXICO_REG3_OC/200429COVID19MEXICO_REG3_OC_HOSP.csv,200429COVID19MEXICO,355,
C:/datos_covid_salida/200430COVID19MEXICO/200430COVID19MEXICO_REG3_OC/200430COVID19MEXICO_REG3_OC_AMB.csv,200430COVID19MEXICO,1069,
C:/datos_covid_salida/200430COVID19MEXICO/200430COVID19MEXICO_REG3_OC/200430COVID19MEXICO_REG3_OC_HOSP.csv,200430COVID19MEXICO,389,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG3_OC/200501COVID19MEXICO_REG3_OC_AMB.csv,200501COVID19MEXICO,1167,
C:/datos_covid_salida/200501COVID19MEXICO/200501COVID19MEXICO_REG3_OC/200501COVID19MEXICO_REG3_OC_HOSP.csv,200501COVID19MEXICO,417,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG3_OC/200502COVID19MEXICO_REG3_OC_AMB.csv,200502COVID19MEXICO,1242,
C:/datos_covid_salida/200502COVID19MEXICO/200502COVID19MEXICO_REG3_OC/200502COVID19MEXICO_REG3_OC_HOSP.csv,200502COVID19MEXICO,434,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG3_OC/200503COVID19MEXICO_REG3_OC_AMB.csv,200503COVID19MEXICO,1300,
C:/datos_covid_salida/200503COVID19MEXICO/200503COVID19MEXICO_REG3_OC/200503COVID19MEXICO_REG3_OC_HOSP.csv,200503COVID19MEXICO,459,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG3_OC/200504COVID19MEXICO_REG3_OC_AMB.csv,200504COVID19MEXICO,1364,
C:/datos_covid_salida/200504COVID19MEXICO/200504COVID19MEXICO_REG3_OC/200504COVID19MEXICO_REG3_OC_HOSP.csv,200504COVID19MEXICO,488,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG3_OC/200505COVID19MEXICO_REG3_OC_AMB.csv,200505COVID19MEXICO,1412,
C:/datos_covid_salida/200505COVID19MEXICO/200505COVID19MEXICO_REG3_OC/200505COVID19MEXICO_REG3_OC_HOSP.csv,200505COVID19MEXICO,513,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG3_OC/200506COVID19MEXICO_REG3_OC_AMB.csv,200506COVID19MEXICO,1480,
C:/datos_covid_salida/200506COVID19MEXICO/200506COVID19MEXICO_REG3_OC/200506COVID19MEXICO_REG3_OC_HOSP.csv,200506COVID19MEXICO,550,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG3_OC/200507COVID19MEXICO_REG3_OC_AMB.csv,200507COVID19MEXICO,1593,
C:/datos_covid_salida/200507COVID19MEXICO/200507COVID19MEXICO_REG3_OC/200507COVID19MEXICO_REG3_OC_HOSP.csv,200507COVID19MEXICO,603,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG3_OC/200508COVID19MEXICO_REG3_OC_AMB.csv,200508COVID19MEXICO,1713,
C:/datos_covid_salida/200508COVID19MEXICO/200508COVID19MEXICO_REG3_OC/200508COVID19MEXICO_REG3_OC_HOSP.csv,200508COVID19MEXICO,647,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG3_OC/200509COVID19MEXICO_REG3_OC_AMB.csv,200509COVID19MEXICO,1810,
C:/datos_covid_salida/200509COVID19MEXICO/200509COVID19MEXICO_REG3_OC/200509COVID19MEXICO_REG3_OC_HOSP.csv,200509COVID19MEXICO,690,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG3_OC/200510COVID19MEXICO_REG3_OC_AMB.csv,200510COVID19MEXICO,1893,
C:/datos_covid_salida/200510COVID19MEXICO/200510COVID19MEXICO_REG3_OC/200510COVID19MEXICO_REG3_OC_HOSP.csv,200510COVID19MEXICO,718,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG3_OC/200511COVID19MEXICO_REG3_OC_AMB.csv,200511COVID19MEXICO,2013,
C:/datos_covid_salida/200511COVID19MEXICO/200511COVID19MEXICO_REG3_OC/200511COVID19MEXICO_REG3_OC_HOSP.csv,200511COVID19MEXICO,749,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG3_OC/200512COVID19MEXICO_REG3_OC_AMB.csv,200512COVID19MEXICO,2136,
C:/datos_covid_salida/200512COVID19MEXICO/200512COVID19MEXICO_REG3_OC/200512COVID19MEXICO_REG3_OC_HOSP.csv,200512COVID19MEXICO,796,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG3_OC/200513COVID19MEXICO_REG3_OC_AMB.csv,200513COVID19MEXICO,2288,
C:/datos_covid_salida/200513COVID19MEXICO/200513COVID19MEXICO_REG3_OC/200513COVID19MEXICO_REG3_OC_HOSP.csv,200513COVID19MEXICO,848,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG3_OC/200514COVID19MEXICO_REG3_OC_AMB.csv,200514COVID19MEXICO,2435,
C:/datos_covid_salida/200514COVID19MEXICO/200514COVID19MEXICO_REG3_OC/200514COVID19MEXICO_REG3_OC_HOSP.csv,200514COVID19MEXICO,898,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG3_OC/200515COVID19MEXICO_REG3_OC_AMB.csv,200515COVID19MEXICO,2577,
C:/datos_covid_salida/200515COVID19MEXICO/200515COVID19MEXICO_REG3_OC/200515COVID19MEXICO_REG3_OC_HOSP.csv,200515COVID19MEXICO,946,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG3_OC/200516COVID19MEXICO_REG3_OC_AMB.csv,200516COVID19MEXICO,2743,
C:/datos_covid_salida/200516COVID19MEXICO/200516COVID19MEXICO_REG3_OC/200516COVID19MEXICO_REG3_OC_HOSP.csv,200516COVID19MEXICO,997,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG3_OC/200517COVID19MEXICO_REG3_OC_AMB.csv,200517COVID19MEXICO,2916,
C:/datos_covid_salida/200517COVID19MEXICO/200517COVID19MEXICO_REG3_OC/200517COVID19MEXICO_REG3_OC_HOSP.csv,200517COVID19MEXICO,1054,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG3_OC/200518COVID19MEXICO_REG3_OC_AMB.csv,200518COVID19MEXICO,3024,
C:/datos_covid_salida/200518COVID19MEXICO/200518COVID19MEXICO_REG3_OC/200518COVID19MEXICO_REG3_OC_HOSP.csv,200518COVID19MEXICO,1084,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG3_OC/200519COVID19MEXICO_REG3_OC_AMB.csv,200519COVID19MEXICO,3252,
C:/datos_covid_salida/200519COVID19MEXICO/200519COVID19MEXICO_REG3_OC/200519COVID19MEXICO_REG3_OC_HOSP.csv,200519COVID19MEXICO,1145,
C:/datos_covid_salida/200520COVID19MEXICO/200520COVID19MEXICO_REG3_OC/200520COVID19MEXICO_REG3_OC_AMB.csv,200520COVID19MEXICO,3424,
C:/datos_covid_salida/200520COVID19MEXICO/200520COVID19MEXICO_REG3_OC/200520COVID19MEXICO_REG3_OC_HOSP.csv,200520COVID19MEXICO,1204,
C:/datos_covid_salida/200521COVID19MEXICO/200521COVID19MEXICO_REG3_OC/200521COVID19MEXICO_REG3_OC_AMB.csv,200521COVID19MEXICO,3645,
C:/datos_covid_salida/200521COVID19MEXICO/200521COVID19MEXICO_REG3_OC/200521COVID19MEXICO_REG3_OC_HOSP.csv,200521COVID19MEXICO,1287,
C:/datos_covid_salida/200522COVID19MEXICO/200522COVID19MEXICO_REG3_OC/200522COVID19MEXICO_REG3_OC_AMB.csv,200522COVID19MEXICO,3854,
C:/datos_covid_salida/200522COVID19MEXICO/200522COVID19MEXICO_REG3_OC/200522COVID19MEXICO_REG3_OC_HOSP.csv,200522COVID19MEXICO,1381,
C:/datos_covid_salida/200523COVID19MEXICO/200523COVID19MEXICO_REG3_OC/200523COVID19MEXICO_REG3_OC_AMB.csv,200523COVID19MEXICO,4066,
C:/datos_covid_salida/200523COVID19MEXICO/200523COVID19MEXICO_REG3_OC/200523COVID19MEXICO_REG3_OC_HOSP.csv,200523COVID19MEXICO,1441,
C:/datos_covid_salida/200524COVID19MEXICO/200524COVID19MEXICO_REG3_OC/200524COVID19MEXICO_REG3_OC_AMB.csv,200524COVID19MEXICO,4191,
C:/datos_covid_salida/200524COVID19MEXICO/200524COVID19MEXICO_REG3_OC/200524COVID19MEXICO_REG3_OC_HOSP.csv,200524COVID19MEXICO,1484,
C:/datos_covid_salida/200525COVID19MEXICO/200525COVID19MEXICO_REG3_OC/200525COVID19MEXICO_REG3_OC_AMB.csv,200525COVID19MEXICO,4361,
C:/datos_covid_salida/200525COVID19MEXICO/200525COVID19MEXICO_REG3_OC/200525COVID19MEXICO_REG3_OC_HOSP.csv,200525COVID19MEXICO,1562,
C:/datos_covid_salida/200526COVID19MEXICO/200526COVID19MEXICO_REG3_OC/200526COVID19MEXICO_REG3_OC_AMB.csv,200526COVID19MEXICO,4566,
C:/datos_covid_salida/200526COVID19MEXICO/200526COVID19MEXICO_REG3_OC/200526COVID19MEXICO_REG3_OC_HOSP.csv,200526COVID19MEXICO,1652,
C:/datos_covid_salida/200527COVID19MEXICO/200527COVID19MEXICO_REG3_OC/200527COVID19MEXICO_REG3_OC_AMB.csv,200527COVID19MEXICO,4821,
C:/datos_covid_salida/200527COVID19MEXICO/200527COVID19MEXICO_REG3_OC/200527COVID19MEXICO_REG3_OC_HOSP.csv,200527COVID19MEXICO,1752,
C:/datos_covid_salida/200528COVID19MEXICO/200528COVID19MEXICO_REG3_OC/200528COVID19MEXICO_REG3_OC_AMB.csv,200528COVID19MEXICO,5096,
C:/datos_covid_salida/200528COVID19MEXICO/200528COVID19MEXICO_REG3_OC/200528COVID19MEXICO_REG3_OC_HOSP.csv,200528COVID19MEXICO,1857,
C:/datos_covid_salida/200529COVID19MEXICO/200529COVID19MEXICO_REG3_OC/200529COVID19MEXICO_REG3_OC_AMB.csv,200529COVID19MEXICO,5368,
C:/datos_covid_salida/200529COVID19MEXICO/200529COVID19MEXICO_REG3_OC/200529COVID19MEXICO_REG3_OC_HOSP.csv,200529COVID19MEXICO,1919,
C:/datos_covid_salida/200530COVID19MEXICO/200530COVID19MEXICO_REG3_OC/200530COVID19MEXICO_REG3_OC_AMB.csv,200530COVID19MEXICO,5663,
C:/datos_covid_salida/200530COVID19MEXICO/200530COVID19MEXICO_REG3_OC/200530COVID19MEXICO_REG3_OC_HOSP.csv,200530COVID19MEXICO,1997,
C:/datos_covid_salida/200531COVID19MEXICO/200531COVID19MEXICO_REG3_OC/200531COVID19MEXICO_REG3_OC_AMB.csv,200531COVID19MEXICO,5988,
C:/datos_covid_salida/200531COVID19MEXICO/200531COVID19MEXICO_REG3_OC/200531COVID19MEXICO_REG3_OC_HOSP.csv,200531COVID19MEXICO,2074,
C:/datos_covid_salida/200601COVID19MEXICO/200601COVID19MEXICO_REG3_OC/200601COVID19MEXICO_REG3_OC_AMB.csv,200601COVID19MEXICO,6133,
C:/datos_covid_salida/200601COVID19MEXICO/200601COVID19MEXICO_REG3_OC/200601COVID19MEXICO_REG3_OC_HOSP.csv,200601COVID19MEXICO,2148,
C:/datos_covid_salida/200602COVID19MEXICO/200602COVID19MEXICO_REG3_OC/200602COVID19MEXICO_REG3_OC_AMB.csv,200602COVID19MEXICO,6598,
C:/datos_covid_salida/200602COVID19MEXICO/200602COVID19MEXICO_REG3_OC/200602COVID19MEXICO_REG3_OC_HOSP.csv,200602COVID19MEXICO,2278,
C:/datos_covid_salida/200603COVID19MEXICO/200603COVID19MEXICO_REG3_OC/200603COVID19MEXICO_REG3_OC_AMB.csv,200603COVID19MEXICO,6935,
C:/datos_covid_salida/200603COVID19MEXICO/200603COVID19MEXICO_REG3_OC/200603COVID19MEXICO_REG3_OC_HOSP.csv,200603COVID19MEXICO,2433,
C:/datos_covid_salida/200604COVID19MEXICO/200604COVID19MEXICO_REG3_OC/200604COVID19MEXICO_REG3_OC_AMB.csv,200604COVID19MEXICO,7375,
C:/datos_covid_salida/200604COVID19MEXICO/200604COVID19MEXICO_REG3_OC/200604COVID19MEXICO_REG3_OC_HOSP.csv,200604COVID19MEXICO,2563,
C:/datos_covid_salida/200605COVID19MEXICO/200605COVID19MEXICO_REG3_OC/200605COVID19MEXICO_REG3_OC_AMB.csv,200605COVID19MEXICO,7770,
C:/datos_covid_salida/200605COVID19MEXICO/200605COVID19MEXICO_REG3_OC/200605COVID19MEXICO_REG3_OC_HOSP.csv,200605COVID19MEXICO,2709,
C:/datos_covid_salida/200606COVID19MEXICO/200606COVID19MEXICO_REG3_OC/200606COVID19MEXICO_REG3_OC_AMB.csv,200606COVID19MEXICO,8133,
C:/datos_covid_salida/200606COVID19MEXICO/200606COVID19MEXICO_REG3_OC/200606COVID19MEXICO_REG3_OC_HOSP.csv,200606COVID19MEXICO,2822,
C:/datos_covid_salida/200607COVID19MEXICO/200607COVID19MEXICO_REG3_OC/200607COVID19MEXICO_REG3_OC_AMB.csv,200607COVID19MEXICO,8548,
C:/datos_covid_salida/200607COVID19MEXICO/200607COVID19MEXICO_REG3_OC/200607COVID19MEXICO_REG3_OC_HOSP.csv,200607COVID19MEXICO,2915,
C:/datos_covid_salida/200608COVID19MEXICO/200608COVID19MEXICO_REG3_OC/200608COVID19MEXICO_REG3_OC_AMB.csv,200608COVID19MEXICO,8862,
C:/datos_covid_salida/200608COVID19MEXICO/200608COVID19MEXICO_REG3_OC/200608COVID19MEXICO_REG3_OC_HOSP.csv,200608COVID19MEXICO,3041,
C:/datos_covid_salida/200609COVID19MEXICO/200609COVID19MEXICO_REG3_OC/200609COVID19MEXICO_REG3_OC_AMB.csv,200609COVID19MEXICO,9484,
