Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG4_CE/200412COVID19MEXICO_REG4_CE_AMB.csv,200412COVID19MEXICO,1457,
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG4_CE/200412COVID19MEXICO_REG4_CE_HOSP.csv,200412COVID19MEXICO,844,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG4_CE/200413COVID19MEXICO_REG4_CE_AMB.csv,200413COVID19MEXICO,1561,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG4_CE/200413COVID19MEXICO_REG4_CE_HOSP.csv,200413COVID19MEXICO,920,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG4_CE/200414COVID19MEXICO_REG4_CE_AMB.csv,200414COVID19MEXICO,1656,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG4_CE/200414COVID19MEXICO_REG4_CE_HOSP.csv,200414COVID19MEXICO,1017,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG4_CE/200415COVID19MEXICO_REG4_CE_AMB.csv,200415COVID19MEXICO,1750,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG4_CE/200415COVID19MEXICO_REG4_CE_HOSP.csv,200415COVID19MEXICO,1144,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG4_CE/200416COVID19MEXICO_REG4_CE_AMB.csv,200416COVID19MEXICO,1870,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG4_CE/200416COVID19MEXICO_REG4_CE_HOSP.csv,200416COVID19MEXICO,1227,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG4_CE/200417COVID19MEXICO_REG4_CE_AMB.csv,200417COVID19MEXICO,2095,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG4_CE/200417COVID19MEXICO_REG4_CE_HOSP.csv,200417COVID19MEXICO,1356,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG4_CE/200418COVID19MEXICO_REG4_CE_AMB.csv,200418COVID19MEXICO,2240,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG4_CE/200418COVID19MEXICO_REG4_CE_HOSP.csv,200418COVID19MEXICO,1491,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG4_CE/200419COVID19MEXICO_REG4_CE_AMB.csv,200419COVID19MEXICO,2520,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG4_CE/200419COVID19MEXICO_REG4_CE_HOSP.csv,200419COVID19MEXICO,1649,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG4_CE/200420COVID19MEXICO_REG4_CE_AMB.csv,200420COVID19MEXICO,2613,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG4_CE/200420COVID19MEXICO_REG4_CE_HOSP.csv,200420COVID19MEXICO,1722,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG4_CE/200421COVID19MEXICO_REG4_CE_AMB.csv,200421COVID19MEXICO,2799,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG4_CE/200421COVID19MEXICO_REG4_CE_HOSP.csv,200421COVID19MEXICO,1844,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG4_CE/200422COVID19MEXICO_REG4_CE_AMB.csv,200422COVID19MEXICO,3148,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG4_CE/200422COVID19MEXICO_REG4_CE_HOSP.csv,200422COVID19MEXICO,2113,
C:/datos_covid_salida/200423COVID19MEXICO/200423COVID19MEXICO_REG4_CE/200423COVID19MEXICO_REG4_CE_AMB.csv,200423COVID19MEXICO,3457,
C:/datos_covid_salida/200423COVID19MEXICO/200423COVID19MEXICO_REG4_CE/200423COVID19MEXICO_REG4_CE_HOSP.csv,200423COVID19MEXICO,2363,
C:/datos_covid_salida/200424COVID19MEXICO/200424COVID19MEXICO_REG4_CE/200424COVID19MEXICO_REG4_CE_AMB.csv,200424COVID19MEXICO,3896,
C:/datos_covid_salida/200424COVID19MEXICO/200424COVID19MEXICO_REG4_CE/200424COVID19MEXICO_REG4_CE_HOSP.csv,200424COVID19MEXICO,2666,
C:/datos_covid_salida/200425COVID19MEXICO/200425COVID19MEXICO_REG4_CE/200425COVID19MEXICO_REG4_CE_AMB.csv,200425COVID19MEXICO,4130,
C:/datos_covid_salida/200425COVID19MEXICO/200425COVID19MEXICO_REG4_CE/200425COVID19MEXICO_REG4_CE_HOSP.csv,200425COVID19MEXICO,2993,
C:/datos_covid_salida/200426COVID19MEXICO/200426COVID19MEXICO_REG4_CE/200426COVID19MEXICO_REG4_CE_AMB.csv,200426COVID19MEXICO,4351,
C:/datos_covid_salida/200426COVID19MEXICO/200426COVID19MEXICO_REG4_CE/200426COVID19MEXICO_REG4_CE_HOSP.csv,200426COVID19MEXICO,3187,
C:/datos_covid_salida/200427COVID19MEXICO/200427COVID19MEXICO_REG4_CE/200427COVID19MEXICO_REG4_CE_AMB.csv,200427COVID19MEXICO,4553,
C:/datos_covid_salida/200427COVID19MEXICO/200427COVID19MEXICO_REG4_CE/200427COVID19MEXICO_REG4_CE_HOSP.csv,200427COVID19MEXICO,3344,
C:/datos_covid_salida/200428COVID19MEXICO/200428COVID19MEXICO_REG4_CE/200428COVID19MEXICO_REG4_CE_AMB.csv,200428COVID19MEXICO,4946,
C:/datos_covid_salida/200428COVID19MEXICO/200428COVID19MEXICO_REG4_CE/200428COVID19MEXICO_REG4_CE_HOSP.csv,200428COVID19MEXICO,3701,
C:/datos_covid_salida/200429COVID19MEXICO/200429COVID19MEXICO_REG4_CE/200429COVID19MEXICO_REG4_CE_AMB.csv,200429COVID19MEXICO,5257,
