Paths_TIPO Summary,Dates_TIPO Summary, Numbers_Summary 0
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG5_SE/200412COVID19MEXICO_REG5_SE_AMB.csv,200412COVID19MEXICO,468,
C:/datos_covid_salida/200412COVID19MEXICO/200412COVID19MEXICO_REG5_SE/200412COVID19MEXICO_REG5_SE_HOSP.csv,200412COVID19MEXICO,208,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG5_SE/200413COVID19MEXICO_REG5_SE_AMB.csv,200413COVID19MEXICO,491,
C:/datos_covid_salida/200413COVID19MEXICO/200413COVID19MEXICO_REG5_SE/200413COVID19MEXICO_REG5_SE_HOSP.csv,200413COVID19MEXICO,222,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG5_SE/200414COVID19MEXICO_REG5_SE_AMB.csv,200414COVID19MEXICO,523,
C:/datos_covid_salida/200414COVID19MEXICO/200414COVID19MEXICO_REG5_SE/200414COVID19MEXICO_REG5_SE_HOSP.csv,200414COVID19MEXICO,257,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG5_SE/200415COVID19MEXICO_REG5_SE_AMB.csv,200415COVID19MEXICO,579,
C:/datos_covid_salida/200415COVID19MEXICO/200415COVID19MEXICO_REG5_SE/200415COVID19MEXICO_REG5_SE_HOSP.csv,200415COVID19MEXICO,281,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG5_SE/200416COVID19MEXICO_REG5_SE_AMB.csv,200416COVID19MEXICO,600,
C:/datos_covid_salida/200416COVID19MEXICO/200416COVID19MEXICO_REG5_SE/200416COVID19MEXICO_REG5_SE_HOSP.csv,200416COVID19MEXICO,311,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG5_SE/200417COVID19MEXICO_REG5_SE_AMB.csv,200417COVID19MEXICO,627,
C:/datos_covid_salida/200417COVID19MEXICO/200417COVID19MEXICO_REG5_SE/200417COVID19MEXICO_REG5_SE_HOSP.csv,200417COVID19MEXICO,331,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG5_SE/200418COVID19MEXICO_REG5_SE_AMB.csv,200418COVID19MEXICO,703,
C:/datos_covid_salida/200418COVID19MEXICO/200418COVID19MEXICO_REG5_SE/200418COVID19MEXICO_REG5_SE_HOSP.csv,200418COVID19MEXICO,373,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG5_SE/200419COVID19MEXICO_REG5_SE_AMB.csv,200419COVID19MEXICO,769,
C:/datos_covid_salida/200419COVID19MEXICO/200419COVID19MEXICO_REG5_SE/200419COVID19MEXICO_REG5_SE_HOSP.csv,200419COVID19MEXICO,410,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG5_SE/200420COVID19MEXICO_REG5_SE_AMB.csv,200420COVID19MEXICO,862,
C:/datos_covid_salida/200420COVID19MEXICO/200420COVID19MEXICO_REG5_SE/200420COVID19MEXICO_REG5_SE_HOSP.csv,200420COVID19MEXICO,455,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG5_SE/200421COVID19MEXICO_REG5_SE_AMB.csv,200421COVID19MEXICO,933,
C:/datos_covid_salida/200421COVID19MEXICO/200421COVID19MEXICO_REG5_SE/200421COVID19MEXICO_REG5_SE_HOSP.csv,200421COVID19MEXICO,514,
C:/datos_covid_salida/200422COVID19MEXICO/200422COVID19MEXICO_REG5_SE/200422COVID19MEXICO_REG5_SE_AMB.csv,200422COVID19MEXICO,993,
